task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
17	38/01be33	976318	downloadHumanDNA (9)	COMPLETED	0	2021-12-10 00:38:04.725	2.1s	1.6s	16.4%	7.8 MB	22.4 MB	35 MB	34.9 MB
30	b5/2b098d	976504	downloadHumanDNA (22)	COMPLETED	0	2021-12-10 00:38:04.979	2.6s	2s	5.5%	7.9 MB	22.4 MB	11 MB	10.9 MB
23	2c/e2c0b8	976411	downloadHumanDNA (15)	COMPLETED	0	2021-12-10 00:38:04.886	2.8s	1.8s	10.8%	7.8 MB	22.4 MB	23.3 MB	23.2 MB
28	51/20a9a9	976466	downloadHumanDNA (20)	COMPLETED	0	2021-12-10 00:38:04.939	3.5s	2.2s	8.7%	7.8 MB	22.4 MB	18.1 MB	18 MB
21	36/ad8d23	976696	downloadHumanDNA (13)	COMPLETED	0	2021-12-10 00:38:05.100	3.5s	2.8s	9.5%	7.9 MB	22.4 MB	28.3 MB	28.2 MB
32	e2/e27047	976451	downloadHumanDNA (24)	COMPLETED	0	2021-12-10 00:38:04.919	4.1s	3.5s	10.8%	7.9 MB	22.4 MB	44.2 MB	44.1 MB
14	f8/306700	976525	downloadHumanDNA (6)	COMPLETED	0	2021-12-10 00:38:05.007	4.4s	3.7s	11.9%	7.9 MB	22.4 MB	49.3 MB	49.2 MB
27	9a/40cf0f	976554	downloadHumanDNA (19)	COMPLETED	0	2021-12-10 00:38:05.023	5.1s	4.3s	4.9%	7.9 MB	22.4 MB	16.1 MB	15.9 MB
31	10/0e613e	980087	downloadHumanDNA (23)	COMPLETED	0	2021-12-10 00:38:09.080	1.1s	295ms	13.2%	3 MB	8.4 MB	166.9 KB	6.4 KB
25	7d/ff627b	976793	downloadHumanDNA (17)	COMPLETED	0	2021-12-10 00:38:05.159	5.3s	4.8s	5.9%	7.9 MB	22.4 MB	23.1 MB	23 MB
7	42/ea0bf1	976324	downloadHumanDNA (1)	COMPLETED	0	2021-12-10 00:38:04.736	5.8s	5.5s	10.8%	8 MB	22.4 MB	66.2 MB	66.2 MB
26	9a/7f36a7	976577	downloadHumanDNA (18)	COMPLETED	0	2021-12-10 00:38:05.041	6.2s	5.8s	5.0%	7.9 MB	22.4 MB	22.4 MB	22.3 MB
16	a7/55c726	976361	downloadHumanDNA (8)	COMPLETED	0	2021-12-10 00:38:04.807	6.6s	6.2s	7.0%	7.7 MB	22.4 MB	41.8 MB	41.7 MB
15	12/8148e7	976378	downloadHumanDNA (7)	COMPLETED	0	2021-12-10 00:38:04.817	7.2s	6.8s	7.1%	7.8 MB	22.4 MB	45.4 MB	45.3 MB
11	80/e00ef8	976481	downloadHumanDNA (3)	COMPLETED	0	2021-12-10 00:38:04.956	7.1s	6.7s	8.4%	7.8 MB	22.4 MB	57.2 MB	57.1 MB
20	18/5dfdbc	978491	downloadHumanDNA (12)	COMPLETED	0	2021-12-10 00:38:06.843	5.2s	4.8s	8.4%	7.9 MB	22.4 MB	38.1 MB	38 MB
34	9e/72a49c	981501	downloadHumanDNA (25)	COMPLETED	0	2021-12-10 00:38:10.440	1.7s	1.6s	6.2%	7.7 MB	22.4 MB	6.9 MB	6.8 MB
22	66/06c326	978947	downloadHumanDNA (14)	COMPLETED	0	2021-12-10 00:38:07.691	5.6s	5.1s	5.4%	7.8 MB	22.4 MB	26.1 MB	25.9 MB
13	22/bc215c	976315	downloadHumanDNA (5)	COMPLETED	0	2021-12-10 00:38:04.684	9s	8.7s	6.1%	7.9 MB	22.4 MB	52.1 MB	52 MB
18	c8/899208	979708	downloadHumanDNA (10)	COMPLETED	0	2021-12-10 00:38:08.420	5.5s	5s	7.8%	7.7 MB	22.4 MB	38.3 MB	38.2 MB
19	53/0d0ef4	979839	downloadHumanDNA (11)	COMPLETED	0	2021-12-10 00:38:08.564	5.5s	5s	6.9%	7.8 MB	22.4 MB	38.4 MB	38.3 MB
24	d7/93abd3	981215	downloadHumanDNA (16)	COMPLETED	0	2021-12-10 00:38:10.145	5s	4.7s	6.4%	7.9 MB	22.4 MB	24.2 MB	24.1 MB
9	08/82a4da	976899	downloadHumanDNA (2)	COMPLETED	0	2021-12-10 00:38:05.210	10.3s	9.8s	7.3%	7.8 MB	22.4 MB	69.6 MB	69.5 MB
12	b3/191571	976679	downloadHumanDNA (4)	COMPLETED	0	2021-12-10 00:38:05.078	12.5s	12.1s	5.1%	7.9 MB	22.4 MB	54.9 MB	54.8 MB
33	ed/25bca4	978828	downloadGTF	COMPLETED	0	2021-12-10 00:38:07.574	12.9s	12.2s	67.2%	7.9 MB	22.4 MB	90.8 MB	1.2 GB
6	86/e31f6d	976391	downloadSRR (6)	COMPLETED	0	2021-12-10 00:38:04.843	2m 32s	2m 31s	14.6%	9.5 MB	22.6 MB	1.3 GB	1.3 GB
4	91/2b941e	976353	downloadSRR (4)	COMPLETED	0	2021-12-10 00:38:04.786	3m 2s	3m 2s	12.5%	9.4 MB	22.6 MB	1.3 GB	1.3 GB
10	94/4c40a2	976638	downloadSRR (8)	COMPLETED	0	2021-12-10 00:38:05.069	3m 12s	3m 12s	15.0%	9.4 MB	22.6 MB	1.7 GB	1.7 GB
8	52/9dbc9b	981225	downloadSRR (7)	COMPLETED	0	2021-12-10 00:38:10.167	3m 23s	3m 22s	16.7%	9.4 MB	22.6 MB	2.2 GB	2.2 GB
